Name,Title,Company,LinkedIn URL,Public Email,Contact Confidence Score
Eric Dunn,CEO & Partner,Plastix Marketing,https://linkedin.com/in/ericdunn-plastix,hello@plastixmarketing.com,9
Kari Stevison,CMO & Partner,Plastix Marketing,https://linkedin.com/in/karistevison,,8
Rebecca Noll,COO,Plastix Marketing,https://linkedin.com/in/beccanoll,,7
Paul Phillips,CEO,NKP Medical Marketing,https://linkedin.com/in/paulphillips-nkp,info@nkpmedical.com,8
David Phillips,Founder,NKP Medical Marketing,https://linkedin.com/in/davidphillips-nkp,,7
Jamie Butterworth,CEO & Partner,Studio III Marketing,https://linkedin.com/in/jamiebutterworth-studio3,,8
Matt Bartilson,Founder & Chief Corporate Officer,Studio III Marketing,https://linkedin.com/in/mattbartilson,,8
Dave Sveen,Founder & President,Incredible Marketing,https://linkedin.com/in/davesveen,IM@IncredibleMarketing.com,9
Greg Powers,Co-Founder,Plastic Surgery Studios,https://linkedin.com/in/gregpowers-pss,,7
Adam Daniells,Co-Founder & CEO,Influx Marketing,https://linkedin.com/in/adamdaniells,info@influxmarketing.com,9
Max Baybak,Co-Founder & Chief Growth Officer,Influx Marketing,https://linkedin.com/in/maxbaybak,,8
Erica Crawford,President,Influx Marketing,https://linkedin.com/in/ericacrawford-influx,,7
Keith C. Humes,Founder & CEO,Rosemont Media,https://linkedin.com/in/keithhumes,,9
Roy Kesserwani,Founder CEO & CTO,PilotPractice,https://linkedin.com/in/roykesserwani,marketing@pilotpractice.com,9
Julie Kesserwani,Founder & COO,PilotPractice,https://linkedin.com/in/juliekesserwani,,8
David Kocher,Chief Customer Officer,PBHS (RevenueWell),https://linkedin.com/in/davidkocher-revenuewell,,7
Steven Fruchter,Founder & Chief Technologist,GrowthMed,https://linkedin.com/in/stevenfruchter,,8
Justin Knott,Founder CEO & President,Intrepy Healthcare Marketing,https://linkedin.com/in/justinknott,,9
Kelley Knott,Co-Founder,Intrepy Healthcare Marketing,https://linkedin.com/in/kelleyknott,,7
Vahe Tirakyan,Founder & CEO,MDLogica,https://linkedin.com/in/vahetirakyan,hello@mdlogica.com,8
Matt Bowman,Founder & President,Thrive Internet Marketing Agency,https://linkedin.com/in/mattbowman-thrive,sales@thriveagency.com,9
Bref McHugh,Founder & CEO,ClinicGrower,https://linkedin.com/in/brefmchugh,info@clinicgrower.com,9
Brad Ferris,Co-Owner & Chief Clinical Officer,ClinicGrower,https://linkedin.com/in/bradferris-clinicgrower,,7
Erica Breining,Founder & Owner,MDConsultingNY,https://linkedin.com/in/ericabreining,,9
